MsgID.STATE,1527096366.7015741,False,False
MsgID.LOCAL_POSITION,1527096371.5846863,-0.2261693,0.4095477,0.0690684
MsgID.LOCAL_VELOCITY,1527096371.5846863,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096371.7741714,False,False
MsgID.GLOBAL_HOME,1527096371.7762089,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096371.8342226,-122.3957461,37.7932787,-0.0580000
MsgID.LOCAL_VELOCITY,1527096371.8342226,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096371.8347743,-0.3171478,0.5137005,0.0587424
MsgID.LOCAL_VELOCITY,1527096371.8347743,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096372.0837545,-122.3957478,37.7932788,-0.0410000
MsgID.LOCAL_VELOCITY,1527096372.0837545,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096372.0842466,-0.3020397,0.3647926,0.0419791
MsgID.LOCAL_VELOCITY,1527096372.0842466,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096372.3353832,-122.3957475,37.7932803,-0.0220000
MsgID.LOCAL_VELOCITY,1527096372.3353832,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096372.3357897,-0.1292666,0.3906419,0.0223757
MsgID.LOCAL_VELOCITY,1527096372.3357897,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096372.5846136,-122.3957475,37.7932810,-0.0030000
MsgID.LOCAL_VELOCITY,1527096372.5846136,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096372.5852499,-0.0517405,0.3954745,0.0035129
MsgID.LOCAL_VELOCITY,1527096372.5852499,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096372.7730086,False,False
MsgID.GLOBAL_HOME,1527096372.7752903,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096372.8342524,-122.3957468,37.7932789,0.0110000
MsgID.LOCAL_VELOCITY,1527096372.8342524,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096372.8347540,-0.2918857,0.4512813,-0.0118946
MsgID.LOCAL_VELOCITY,1527096372.8347540,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096373.0847931,-122.3957458,37.7932785,0.0220000
MsgID.LOCAL_VELOCITY,1527096373.0847931,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096373.0852656,-0.3388592,0.5419403,-0.0227949
MsgID.LOCAL_VELOCITY,1527096373.0852656,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096373.3348432,-122.3957476,37.7932793,0.0300000
MsgID.LOCAL_VELOCITY,1527096373.3348432,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096373.3352630,-0.2465807,0.3858301,-0.0302220
MsgID.LOCAL_VELOCITY,1527096373.3352630,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096373.5853198,-122.3957474,37.7932800,0.0380000
MsgID.LOCAL_VELOCITY,1527096373.5853198,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096373.5857246,-0.1687572,0.4027077,-0.0380450
MsgID.LOCAL_VELOCITY,1527096373.5857246,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096373.7736695,False,False
MsgID.GLOBAL_HOME,1527096373.7757645,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096373.8348465,-122.3957479,37.7932790,0.0500000
MsgID.LOCAL_VELOCITY,1527096373.8348465,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096373.8353529,-0.2802441,0.3582940,-0.0505341
MsgID.LOCAL_VELOCITY,1527096373.8353529,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096374.0858929,-122.3957491,37.7932792,0.0680000
MsgID.LOCAL_VELOCITY,1527096374.0858929,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096374.0862992,-0.2513020,0.2495984,-0.0685961
MsgID.LOCAL_VELOCITY,1527096374.0862992,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096374.3357656,-122.3957493,37.7932804,0.0880000
MsgID.LOCAL_VELOCITY,1527096374.3357656,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096374.3364193,-0.1197335,0.2323379,-0.0889538
MsgID.LOCAL_VELOCITY,1527096374.3364193,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096374.5851469,-122.3957478,37.7932801,0.1060000
MsgID.LOCAL_VELOCITY,1527096374.5851469,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096374.5856831,-0.1530605,0.3680108,-0.1067818
MsgID.LOCAL_VELOCITY,1527096374.5856831,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096374.7749162,False,False
MsgID.GLOBAL_HOME,1527096374.7775369,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096374.8358846,-122.3957475,37.7932801,0.1170000
MsgID.LOCAL_VELOCITY,1527096374.8358846,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096374.8366759,-0.1558674,0.3954745,-0.1174740
MsgID.LOCAL_VELOCITY,1527096374.8366759,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096375.0873318,-122.3957474,37.7932801,0.1170000
MsgID.LOCAL_VELOCITY,1527096375.0873318,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096375.0881443,-0.1560033,0.4002966,-0.1178555
MsgID.LOCAL_VELOCITY,1527096375.0881443,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096375.3355196,-122.3957462,37.7932801,0.1070000
MsgID.LOCAL_VELOCITY,1527096375.3355196,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096375.3361313,-0.1559515,0.5090543,-0.1073059
MsgID.LOCAL_VELOCITY,1527096375.3361313,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096375.5861669,-122.3957454,37.7932803,0.0860000
MsgID.LOCAL_VELOCITY,1527096375.5861669,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096375.5866618,-0.1361868,0.5824114,-0.0867602
MsgID.LOCAL_VELOCITY,1527096375.5866618,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096375.7744355,False,False
MsgID.GLOBAL_HOME,1527096375.7764175,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096375.8367078,-122.3957460,37.7932809,0.0570000
MsgID.LOCAL_VELOCITY,1527096375.8367078,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096375.8381693,-0.0709814,0.5236657,-0.0579188
MsgID.LOCAL_VELOCITY,1527096375.8381693,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096376.0872018,-122.3957471,37.7932806,0.0240000
MsgID.LOCAL_VELOCITY,1527096376.0872018,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096376.0877252,-0.0965927,0.4269324,-0.0243462
MsgID.LOCAL_VELOCITY,1527096376.0877252,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096376.3377516,-122.3957480,37.7932792,-0.0100000
MsgID.LOCAL_VELOCITY,1527096376.3377516,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096376.3383911,-0.2598327,0.3510711,0.0102911
MsgID.LOCAL_VELOCITY,1527096376.3383911,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096376.5864623,-122.3957475,37.7932795,-0.0390000
MsgID.LOCAL_VELOCITY,1527096376.5864623,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096376.5868204,-0.2250439,0.3944293,0.0394184
MsgID.LOCAL_VELOCITY,1527096376.5868204,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096376.7750843,False,False
MsgID.GLOBAL_HOME,1527096376.7771399,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096376.8357859,-122.3957469,37.7932809,-0.0600000
MsgID.LOCAL_VELOCITY,1527096376.8357859,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096376.8379681,-0.0640417,0.4417094,0.0604699
MsgID.LOCAL_VELOCITY,1527096376.8379681,0.0000000,0.0000000,-0.0000000
